DEFINITION	FEAT_CODE	UNIT	SCALER_MEAN	SCALER_STD	COEF	CA_PEARSON_R	CA_PEARSON_P
INTERCEPT	-	year			43.0545		
Systolic blood pressure	A12	mmHg	112.0909	31.7161	2.1490	0.3474	0.0000
Pulse	A14	bpm	72.5697	21.4821	-1.7599	-0.1793	0.0256
Weight	A2	kg	60.7316	18.0541	-2.3980	0.1008	0.2104
Waist circumference	A4	cm	76.5927	22.4536	1.6011	0.2626	0.0010
White blood cell (leukocyte) count	B1	10^9 cells/L	5.5867	1.5889	-0.2373	-0.1222	0.1190
Basophill count	B11	10^9 cells/L	0.0273	0.0156	0.6876	-0.0383	0.6260
Mean corpuscular volume	B15	fL	89.3521	8.2021	1.6691	0.2406	0.0019
Mean corpuscular haemoglobin	B16	pg	29.6582	3.7256	-0.1244	0.1772	0.0236
Red blood cell distribution width	B18	%	12.8145	1.8146	0.8962	0.0142	0.8573
Platelet crit	B22	%	0.2297	0.0508	-2.3480	-0.3000	0.0001
Platelet distribution width	B23	%	16.0703	1.3202	0.3178	0.0215	0.7850
Lymphocyte count	B5	10^9/L	1.8481	0.5117	-0.8883	-0.0602	0.4455
Monocyte percentage	B6	%	5.4582	1.3392	-0.0519	0.1130	0.1496
Alanine aminotransferase	BC1	U/L	23.6667	17.6962	-4.4403	0.0760	0.3352
Globulin	BC10	g/L	27.2776	4.8401	-1.0553	0.1847	0.0186
Albumin/Globulin ratio	BC11	-	1.6525	0.3193	-3.1356	-0.2640	0.0007
Creatinine	BC12	umol/L	68.6303	16.2996	0.3811	0.1483	0.0589
Urea	BC13	mmol/L	5.2072	1.4547	1.2594	0.2102	0.0073
Urate	BC14	umol/L	330.0103	87.9508	0.5175	0.1311	0.0964
Cholesterol	BC16	mmol/L	4.8735	1.0982	0.9929	0.0622	0.4299
HDL cholesterol	BC17	mmol/L	1.4367	0.3853	0.5365	0.0042	0.9575
Triglycerides	BC19	mmol/L	1.1808	0.6363	1.3993	0.1596	0.0418
Aspartate aminotransferase	BC2	U/L	23.8182	9.3907	4.5661	0.2628	0.0007
Glucose	BC23	mmol/L	4.9452	0.7877	3.1558	0.3534	0.0000
Glycated haemoglobin (HbA1c)	BC24	mmol/mol	37.0592	7.7217	2.4997	0.4536	0.0000
Lactate dehydrogenase	BC26	IU/L	166.6727	46.1571	0.4366	0.2944	0.0002
Alkaline phosphatase	BC3	U/L	67.2370	21.5305	2.3279	0.2898	0.0002
Gamma glutamyltransferase	BC4	U/L	24.3152	17.6593	0.6775	0.1515	0.0536
Total bilirubin	BC5	umol/L	14.4661	5.2321	0.5560	0.0539	0.4961
Direct bilirubin	BC6	umol/L	2.4588	0.8471	0.6256	0.0185	0.8148
Total protein	BC8	g/L	72.9073	8.7937	-2.6914	-0.0419	0.5953
Albumin	BC9	g/L	45.2764	6.4460	-3.2306	-0.2597	0.0008
Urine specific gravity	U10	-	1.0087	0.1052	-0.8001	-0.0681	0.3862
Urine pH	U12	-	6.1121	0.8916	1.0127	0.1150	0.1415
Urine WBC	U18	/μL	11.9073	51.7306	0.1826	0.0394	0.6164
Urine bacteria	U23	/μL	7.5600	87.7901	1.0192	0.0704	0.3736
